frame,object_type,confidence,tracking_id,x1,y1,x2,y2,license_plate_confidence,mx1,my1,mx2,my2,license_plate_text
223,person,0.68,3,479,272,543,422,,,,,,
224,person,0.68,3,482,268,543,421,,,,,,
225,person,0.63,3,482,266,544,421,,,,,,
226,person,0.67,3,487,268,545,422,,,,,,
227,person,0.67,3,494,269,546,421,,,,,,
228,person,0.64,3,498,269,547,421,,,,,,
229,person,0.71,3,501,270,549,421,,,,,,
230,person,0.73,3,503,270,550,420,,,,,,
231,person,0.62,3,505,272,553,420,,,,,,
232,person,0.56,3,506,275,555,421,,,,,,
233,person,0.69,3,507,273,557,420,,,,,,
234,person,0.7,3,507,279,558,419,,,,,,
235,person,0.71,3,507,278,561,419,,,,,,
236,person,0.73,3,510,275,564,420,,,,,,
237,person,0.75,3,511,273,565,420,,,,,,
238,person,0.69,3,513,273,568,421,,,,,,
239,person,0.66,3,517,272,572,420,,,,,,
240,person,0.68,3,519,270,573,417,,,,,,
241,person,0.74,3,524,270,576,417,,,,,,
242,person,0.77,3,526,267,579,415,,,,,,
243,person,0.78,3,530,269,582,415,,,,,,
244,person,0.78,3,532,267,583,415,,,,,,
245,person,0.78,3,532,270,585,415,,,,,,
246,person,0.77,3,533,271,589,414,,,,,,
247,person,0.71,3,534,274,592,413,,,,,,
248,person,0.69,3,536,273,592,413,,,,,,
249,person,0.74,3,538,275,594,413,,,,,,
250,person,0.74,3,542,274,595,411,,,,,,
251,person,0.73,3,544,274,596,410,,,,,,
252,person,0.74,3,548,274,597,409,,,,,,
253,person,0.74,3,551,274,600,412,,,,,,
254,person,0.74,3,553,271,602,414,,,,,,
255,person,0.79,3,556,272,605,411,,,,,,
256,person,0.7,3,558,275,606,411,,,,,,
257,person,0.56,3,561,275,606,411,,,,,,
258,person,0.17,3,564,278,608,410,,,,,,
259,person,0.2,3,566,278,610,409,,,,,,
260,person,0.22,3,568,279,612,411,,,,,,
261,person,0.24,3,569,282,613,411,,,,,,
262,person,0.6,3,569,281,617,411,,,,,,
263,person,0.51,3,569,280,618,410,,,,,,
264,person,0.68,3,570,279,620,410,,,,,,
265,person,0.72,3,574,277,621,411,,,,,,
266,person,0.72,3,576,276,622,413,,,,,,
267,person,0.58,3,577,277,624,410,,,,,,
268,person,0.28,3,581,279,625,407,,,,,,
269,person,0.71,3,583,275,626,408,,,,,,
270,person,0.75,3,585,274,628,409,,,,,,
271,person,0.68,3,586,277,630,408,,,,,,
272,person,0.13,3,589,278,631,402,,,,,,
273,person,0.34,3,590,278,633,401,,,,,,
274,person,0.31,3,591,279,634,401,,,,,,
275,person,0.38,3,594,281,637,401,,,,,,
276,person,0.41,3,596,281,639,401,,,,,,
277,person,0.58,3,597,280,641,401,,,,,,
278,person,0.7,3,599,277,644,403,,,,,,
279,person,0.54,3,602,278,647,403,,,,,,
280,person,0.58,3,602,278,649,403,,,,,,
280,person,0.78,9,0,297,52,508,,,,,,
281,person,0.73,3,604,276,653,401,,,,,,
281,person,0.59,9,0,288,52,507,,,,,,
282,person,0.7,3,606,277,654,401,,,,,,
282,person,0.77,9,0,285,54,508,,,,,,
283,person,0.75,3,608,273,656,402,,,,,,
283,person,0.81,9,0,272,57,508,,,,,,
284,person,0.74,3,611,268,659,402,,,,,,
284,person,0.84,9,0,248,59,508,,,,,,
285,person,0.71,3,612,268,659,401,,,,,,
285,person,0.82,9,0,238,62,508,,,,,,
286,person,0.7,3,614,268,662,398,,,,,,
286,person,0.79,9,0,233,64,507,,,,,,
287,person,0.66,3,616,270,663,398,,,,,,
287,person,0.83,9,0,232,68,507,,,,,,
288,person,0.7,3,617,271,664,397,,,,,,
288,person,0.82,9,0,233,73,507,,,,,,
289,person,0.7,3,618,271,665,398,,,,,,
289,person,0.82,9,0,234,78,506,,,,,,
290,person,0.71,3,619,273,665,398,,,,,,
290,person,0.82,9,0,237,87,505,,,,,,
291,person,0.68,3,620,275,665,399,,,,,,
291,person,0.82,9,2,238,95,504,,,,,,
292,person,0.75,3,621,276,667,400,,,,,,
292,person,0.78,9,4,240,101,502,,,,,,
293,person,0.68,3,622,277,667,401,,,,,,
293,person,0.84,9,6,240,105,502,,,,,,
294,person,0.68,3,624,277,668,401,,,,,,
294,person,0.84,9,7,239,109,502,,,,,,
295,person,0.7,3,624,276,670,399,,,,,,
295,person,0.82,9,5,239,113,501,,,,,,
296,person,0.73,3,624,277,672,398,,,,,,
296,person,0.81,9,9,237,114,500,,,,,,
297,person,0.67,3,624,278,674,398,,,,,,
297,person,0.84,9,3,239,118,498,,,,,,
298,person,0.72,3,624,275,677,400,,,,,,
298,person,0.8,9,1,239,123,495,,,,,,
299,person,0.66,3,624,272,679,398,,,,,,
299,person,0.79,9,3,239,127,494,,,,,,
300,person,0.69,3,625,272,680,397,,,,,,
300,person,0.73,9,8,238,131,492,,,,,,
301,person,0.6,3,632,273,680,396,,,,,,
301,person,0.66,9,14,241,131,491,,,,,,
302,person,0.51,3,636,277,680,395,,,,,,
302,person,0.64,9,18,244,132,490,,,,,,
303,person,0.6,3,638,279,681,395,,,,,,
303,person,0.52,9,28,244,128,493,,,,,,
304,person,0.58,3,641,281,681,395,,,,,,
304,person,0.69,9,40,243,161,493,,,,,,
305,person,0.41,3,642,283,682,396,,,,,,
305,person,0.79,9,45,245,176,493,,,,,,
306,person,0.68,3,644,283,683,397,,,,,,
306,person,0.84,9,64,250,184,493,,,,,,
307,person,0.7,3,645,281,686,398,,,,,,
307,person,0.83,9,71,250,187,493,,,,,,
308,person,0.65,3,647,280,688,400,,,,,,
308,person,0.74,9,75,253,190,492,,,,,,
309,person,0.71,3,648,276,690,400,,,,,,
309,person,0.59,9,82,251,190,491,,,,,,
310,person,0.59,3,648,274,691,399,,,,,,
310,person,0.62,9,100,253,190,489,,,,,,
311,person,0.62,3,649,274,691,399,,,,,,
311,person,0.64,9,102,269,191,487,,,,,,
311,person,0.66,11,61,251,125,484,,,,,,
312,person,0.54,3,649,274,692,398,,,,,,
312,person,0.78,9,109,258,195,488,,,,,,
312,person,0.68,11,68,247,128,483,,,,,,
313,person,0.2,3,649,272,693,395,,,,,,
313,person,0.72,9,117,256,198,488,,,,,,
313,person,0.66,11,76,251,135,483,,,,,,
314,person,0.63,9,125,250,201,487,,,,,,
314,person,0.67,11,82,259,138,481,,,,,,
315,person,0.58,9,130,246,201,485,,,,,,
315,person,0.67,11,87,255,147,482,,,,,,
316,person,0.68,9,136,244,208,485,,,,,,
316,person,0.68,11,91,255,148,481,,,,,,
317,person,0.68,9,141,247,214,485,,,,,,
317,person,0.73,11,94,255,153,479,,,,,,
317,person,0.55,3,654,270,696,393,,,,,,
318,person,0.7,9,146,259,221,483,,,,,,
318,person,0.75,11,98,257,158,478,,,,,,
318,person,0.44,3,656,270,697,393,,,,,,
319,person,0.73,9,150,255,229,481,,,,,,
319,person,0.71,11,101,257,166,477,,,,,,
319,person,0.64,3,657,269,699,395,,,,,,
320,person,0.71,9,152,257,236,480,,,,,,
320,person,0.65,11,107,257,173,476,,,,,,
320,person,0.61,3,658,269,700,397,,,,,,
321,person,0.74,9,154,257,242,479,,,,,,
321,person,0.61,11,109,256,178,477,,,,,,
321,person,0.64,3,659,269,700,397,,,,,,
322,person,0.74,9,156,254,245,478,,,,,,
322,person,0.63,11,111,254,181,477,,,,,,
322,person,0.64,3,663,269,702,393,,,,,,
323,person,0.65,9,163,251,247,477,,,,,,
323,person,0.61,11,114,252,186,474,,,,,,
323,person,0.65,3,665,267,705,393,,,,,,
324,person,0.72,9,168,251,247,477,,,,,,
324,person,0.68,11,117,253,187,473,,,,,,
324,person,0.62,3,666,268,707,394,,,,,,
325,person,0.71,9,177,256,253,478,,,,,,
325,person,0.67,11,120,256,190,474,,,,,,
325,person,0.65,3,666,270,708,394,,,,,,
326,person,0.66,9,184,255,255,477,,,,,,
326,person,0.65,11,121,257,194,470,,,,,,
326,person,0.52,3,667,273,709,391,,,,,,
327,person,0.68,9,189,251,261,475,,,,,,
327,person,0.75,11,128,254,201,470,,,,,,
327,person,0.29,3,668,275,710,388,,,,,,
328,person,0.68,9,194,251,264,477,,,,,,
328,person,0.76,11,132,254,208,470,,,,,,
328,person,0.45,3,669,274,711,388,,,,,,
329,person,0.71,9,198,251,267,476,,,,,,
329,person,0.79,11,137,254,213,470,,,,,,
329,person,0.45,3,669,273,712,387,,,,,,
330,person,0.65,9,202,260,276,476,,,,,,
330,person,0.79,11,140,257,218,470,,,,,,
330,person,0.17,3,673,276,713,386,,,,,,
331,person,0.61,9,209,262,289,475,,,,,,
331,person,0.82,11,145,261,221,470,,,,,,
331,person,0.24,3,674,276,715,388,,,,,,
332,person,0.72,9,214,263,298,472,,,,,,
332,person,0.86,11,152,262,222,471,,,,,,
332,person,0.31,3,675,280,716,388,,,,,,
333,person,0.71,9,218,255,306,471,,,,,,
333,person,0.79,11,155,259,225,470,,,,,,
333,person,0.42,3,676,282,718,390,,,,,,
334,person,0.7,9,217,253,311,471,,,,,,
334,person,0.79,11,158,255,228,470,,,,,,
334,person,0.42,3,678,283,719,392,,,,,,
335,person,0.72,9,219,253,315,473,,,,,,
335,person,0.78,11,162,254,235,471,,,,,,
335,person,0.51,3,680,282,719,391,,,,,,
336,person,0.77,9,219,251,318,474,,,,,,
336,person,0.75,11,165,254,238,470,,,,,,
336,person,0.55,3,681,280,721,391,,,,,,
337,person,0.76,9,216,252,320,474,,,,,,
337,person,0.75,11,167,254,240,466,,,,,,
337,person,0.57,3,683,280,722,390,,,,,,
338,person,0.74,9,219,253,321,473,,,,,,
338,person,0.76,11,171,254,246,463,,,,,,
338,person,0.61,3,686,281,723,390,,,,,,
339,person,0.57,9,230,252,322,473,,,,,,
339,person,0.75,11,178,254,254,464,,,,,,
339,person,0.56,3,687,282,724,390,,,,,,
340,person,0.72,9,237,259,321,472,,,,,,
340,person,0.76,11,181,256,253,463,,,,,,
340,person,0.58,3,688,282,724,391,,,,,,
341,person,0.77,9,249,258,321,469,,,,,,
341,person,0.77,11,186,256,256,463,,,,,,
341,person,0.62,3,688,281,724,387,,,,,,
342,person,0.76,9,255,252,326,470,,,,,,
342,person,0.77,11,190,257,258,463,,,,,,
342,person,0.62,3,688,280,724,387,,,,,,
343,person,0.76,9,259,252,330,469,,,,,,
343,person,0.73,11,193,256,260,461,,,,,,
343,person,0.46,3,689,279,725,386,,,,,,
344,person,0.78,9,262,252,334,466,,,,,,
344,person,0.74,11,197,259,260,460,,,,,,
